name,rating,reviews,phone,website,maps_url
Apollo Hospital Greams Lane | Best Hospital in Chennai,4.7,"(55,622)",080 6904 9756,https://www.apollohospitals.com/hospitals/apollo-hospitals-greams-road-chennai,https://www.google.com/maps/place/Apollo+Hospital+Greams+Lane+%7C+Best+Hospital+in+Chennai/data=!4m7!3m6!1s0x3a52666accdfbb59:0x2e0d1b10a5e06d2f!8m2!3d13.0631824!4d80.2515375!16s%2Fg%2F1tgn811b!19sChIJWbvfzGpmUjoRL23gpRAbDS4?authuser=0&hl=en&rclk=1
SIMS Hospitals - Multi Speciality Hospital in chennai,4.7,"(18,932)",044 2000 2001,https://simshospitals.com/,https://www.google.com/maps/place/SIMS+Hospitals+-+Multi+Speciality+Hospital+in+chennai/data=!4m7!3m6!1s0x3a5266ea2747db13:0x2ffbe4fed8d74bd2!8m2!3d13.0516924!4d80.2117546!16s%2Fg%2F1pzydv_b3!19sChIJE9tHJ-pmUjoR0kvX2P7k-y8?authuser=0&hl=en&rclk=1
Vihaa Hospital - Multi-Speciality hospital in chennai | Annanagar,4.7,"(2,238)",097104 00000,http://vihaahospital.com/,https://www.google.com/maps/place/Vihaa+Hospital+-+Multi-Speciality+hospital+in+chennai+%7C+Annanagar/data=!4m7!3m6!1s0x3a526425cac6f0db:0x6deb8c146c12e7b4!8m2!3d13.0873339!4d80.2183222!16s%2Fg%2F11dxf2nkks!19sChIJ2_DGyiVkUjoRtOcSbBSM620?authuser=0&hl=en&rclk=1
Gleneagles Hospitals - Top Multi Speciality Hospital in Chennai,4.7,"(10,209)",092402 62422,https://www.gleneagleshospitals.co.in/gleneagles-healthcity-perumbakkam-sholinganallur-chennai,https://www.google.com/maps/place/Gleneagles+Hospitals+-+Top+Multi+Speciality+Hospital+in+Chennai/data=!4m7!3m6!1s0x3a525c0a673ba10f:0xcba7fa2ab4f51143!8m2!3d12.8978488!4d80.2061841!16s%2Fg%2F11bbx05xd4!19sChIJD6E7ZwpcUjoRQxH1tCr6p8s?authuser=0&hl=en&rclk=1
Meridian Hospital,4.7,"(2,257)",044 6666 9910,https://www.meridianhospitals.in/,https://www.google.com/maps/place/Meridian+Hospital/data=!4m7!3m6!1s0x3a5264f1ef8d659b:0xcbd06f762c96656a!8m2!3d13.1363386!4d80.2159769!16s%2Fg%2F11c0qktllh!19sChIJm2WN7_FkUjoRamWWLHZv0Ms?authuser=0&hl=en&rclk=1
Apollo Speciality Hospital | Best Hospital in OMR Chennai,4.6,"(11,076)",080 6297 2769,https://www.apollohospitals.com/hospitals/apollo-speciality-hospitals-omr-chennai,https://www.google.com/maps/place/Apollo+Speciality+Hospital+%7C+Best+Hospital+in+OMR+Chennai/data=!4m7!3m6!1s0x3a525d0f17206573:0xdb5e998d3e583921!8m2!3d12.9631681!4d80.2458651!16s%2Fg%2F1tk9p5p0!19sChIJc2UgFw9dUjoRITlYPo2ZXts?authuser=0&hl=en&rclk=1
NRG Speciality Hospitals,4.9,"(1,569)",044 2950 0004,https://www.nrghospital.com/,https://www.google.com/maps/place/NRG+Speciality+Hospitals/data=!4m7!3m6!1s0x3a5266ed95e36d3f:0x4e1400e331244e4d!8m2!3d13.0346169!4d80.1837161!16s%2Fg%2F1tdqfx7f!19sChIJP23jle1mUjoRTU4kMeMAFE4?authuser=0&hl=en&rclk=1
Tamil Nadu Government Multi Super Speciality Hospital TNGMSSH,4.0,(932),044 2566 6000,http://www.tngmssh.tn.gov.in/,https://www.google.com/maps/place/Tamil+Nadu+Government+Multi+Super+Speciality+Hospital+TNGMSSH/data=!4m7!3m6!1s0x3a52661cdfe287e3:0x91c026621c68ec07!8m2!3d13.0691876!4d80.2737108!16s%2Fm%2F0bby_lq!19sChIJ44fi3xxmUjoRB-xoHGImwJE?authuser=0&hl=en&rclk=1
VS Hospitals,4.7,"(3,563)",044 4600 8000,https://vshospitals.com/,https://www.google.com/maps/place/VS+Hospitals/data=!4m7!3m6!1s0x3a526679b38701b3:0x1964615ceee6f532!8m2!3d13.07796!4d80.241539!16s%2Fg%2F11c3w063w9!19sChIJswGHs3lmUjoRMvXm7lxhZBk?authuser=0&hl=en&rclk=1
Apollo One Greams Road Chennai - Best Hospital in Chennai,4.8,"(1,033)",044 4040 1066,https://www.apollohospitals.com/apollo-one,https://www.google.com/maps/place/Apollo+One+Greams+Road+Chennai+-+Best+Hospital+in+Chennai/data=!4m7!3m6!1s0x3a5267407b1faaa1:0xa7e65ccbc5c13279!8m2!3d13.0623079!4d80.252852!16s%2Fg%2F11l2zdch5y!19sChIJoaofe0BnUjoReTLBxctc5qc?authuser=0&hl=en&rclk=1
